"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"2";"PTH VERT MALE";"1X04_PTH_VERT_MALE_2.54MM";"HDRV4W64P254_1X4_1016X254X838B";"J1, J2";"";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=PEC04SAAN";"S1012E-04-ND";"Sullins Connector Solutions";"PEC04SAAN";"PTH VERT MALE";
"1";"STS-30-DIS";"STS3X-DISSTS30-DIS";"SON50P250X250X100-9T110X180N";"U1";"";"https://www.sensirion.com/file/datasheet_sts3x";"Digikey";"https://www.digikey.com/en/products/detail/sensirion-ag/STS-30-DIS/6194944?s=N4IgTCBcDaIIwDYAsBOAtHADAgzBtAcgCIgC6AvkA";"1649-1063-1-ND";"Sensirion AG";"STS-30-DIS";"STS-30-DIS";
